region,division,school_id,school_name,province,legislative_district,municipality,barangay,entity_name,type_of_ownership,ownership,buildable_space,dimension,scope_of_work,total_classrooms,classroom_requirement,estimated_classroom_shortage
BARMM,Maguindanao I,134030,Katidtuan ES,MAGUINDANAO,Maguindanao del Norte Lone,KABUNTALAN (TUMBAO),KATIDTUAN,DEPED,DOD-DEED OF DONATION,With Ownership,,,,9,9,0
BARMM,Maguindanao I,134033,Maitong ES,MAGUINDANAO,Maguindanao del Norte Lone,KABUNTALAN (TUMBAO),MAITONG,DEPED,DOD-DEED OF DONATION,With Ownership,,,,7,9,2
BARMM,Maguindanao I,216534,Pened PS,MAGUINDANAO,Maguindanao del Norte Lone,KABUNTALAN (TUMBAO),PENED,DEPED,DOD-DEED OF DONATION,With Ownership,,,,2,4,2
BARMM,Maguindanao I,318301,Datu Usngan S. Mastura NHS,MAGUINDANAO,Maguindanao del Norte Lone,SULTAN KUDARAT (NULING),PINARING,DEPED,PP-PRESIDENTIAL PROCLAMATION,With Ownership,,,,10,24,14
BARMM,Maguindanao I,134147,Maguindanaon ES,MAGUINDANAO,Maguindanao del Norte Lone,SULTAN KUDARAT (NULING),BANUBO,DEPED,TD-TAX DECLARATION,With Ownership,,,,25,48,23
CAR,Abra,134966,Agtangao ES,ABRA,Abra Lone,BANGUED (Capital),AGTANGAO,DEPED,OCT-SP,With Ownership,Yes with buildable space,35 x 15,2 storey 6 classrooms with laboratory,14,13,0
CAR,Abra,134977,Bañacao ES,ABRA,Abra Lone,BANGUED (Capital),BAÑACAO,DEPED,OCT-SP,With Ownership,Yes with buildable space,25 x 15,2 storey 4 classrooms,8,8,0
CAR,Abra,134978,Bangbangar ES,ABRA,Abra Lone,BANGUED (Capital),BANGBANGAR,DEPED,OCT-SP,With Ownership,Yes but with demolition,0,2UNIT/s-2STY4CL,12,7,0
CAR,Abra,134968,Bangued East Central School,ABRA,Abra Lone,BANGUED (Capital),ZONE 3 POB. (LALAUD),DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,0,1UNIT/s-2STY4CL,15,15,0
CAR,Abra,134979,Bangued West CS,ABRA,Abra Lone,BANGUED (Capital),ZONE 3 POB. (LALAUD),DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,25 x 15,2 storey 4 classrooms,34,30,1
CAR,Abra,134981,Dangdangla Elementary School,ABRA,Abra Lone,BANGUED (Capital),DANGDANGLA,DEPED,OCT-SP,With Ownership,Yes but with demolition,0,1UNIT/s-2STY4CL,5,7,2
CAR,Abra,218507,Malita Elementary School,ABRA,Abra Lone,BANGUED (Capital),MALITA,DEPED,OCT-SP,With Ownership,No buildable space,,,3,4,1
CAR,Abra,134973,Maoay Elementary School,ABRA,Abra Lone,BANGUED (Capital),MAOAY,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 12m,1 storey 2 classrooms with schoolfurniture,6,5,0
CAR,Abra,134982,Patucannay ES,ABRA,Abra Lone,BANGUED (Capital),PATUCANNAY,DEPED,OCT-SP,With Ownership,Yes with buildable space,0,1UNIT/s-2STY4CL,10,9,0
CAR,Abra,134983,Sagap Elementary School,ABRA,Abra Lone,BANGUED (Capital),SAGAP,DEPED,OCT-SP,With Ownership,Yes with buildable space,25 x 15,"2 storey 4 classrooms with slope protection, site leveling and demolition of existing structure",7,7,0
CAR,Abra,134984,San Antonio ES,ABRA,Abra Lone,BANGUED (Capital),SAN ANTONIO,DEPED,OCT-SP,With Ownership,Yes with buildable space,40 x 15,2 storey 4 classrooms on stilts,7,7,0
CAR,Abra,134974,Sappaac ES,ABRA,Abra Lone,BANGUED (Capital),SAPPAAC,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 12m,1 storey 2 classrooms with schoolfurniture,9,7,0
CAR,Abra,134975,Sinalang Pilot ES,ABRA,Abra Lone,BANGUED (Capital),PALAO,DEPED,OCT-SP,With Ownership,Yes with buildable space,65 x 15,2 storey 6 classrooms on stilts,25,19,0
CAR,Abra,135169,Amti ES,ABRA,Abra Lone,BOLINEY,AMTI,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 15m,1 storey 2 classrooms with schoolfurniture,4,4,0
CAR,Abra,135171,Baoyan ES,ABRA,Abra Lone,BOLINEY,BAO-YAN,DEPED,OCT-SP,With Ownership,Yes with buildable space,0,1UNIT/s-4STY8CL - Special Design; with manual hauling,5,5,0
CAR,Abra,135174,Boliney CS,ABRA,Abra Lone,BOLINEY,POBLACION (BOLINEY),DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 15m,2 storey 4 classrooms with School Furniture,7,7,0
CAR,Abra,305078,Boliney NHS,ABRA,Abra Lone,BOLINEY,POBLACION (BOLINEY),DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 15m,2 storey 4 classrooms with School Furniture,7,8,1
CAR,Abra,502096,Danac Integrated School,ABRA,Abra Lone,BOLINEY,DANAC WEST,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 15m,2 storey 4 classrooms with School Furniture,10,9,0
CAR,Abra,135181,Dao-angan PS,ABRA,Abra Lone,BOLINEY,DAO-ANGAN,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 15m,1 storey 2 classrooms with schoolfurniture,3,3,0
CAR,Abra,135183,Dumagas ES,ABRA,Abra Lone,BOLINEY,DUMAGAS,DEPED,OCT-SP,With Ownership,Yes with buildable space,25 x 15,1 storey 2 classrooms,4,4,0
CAR,Abra,135185,Kilong-olao E/S,ABRA,Abra Lone,BOLINEY,KILONG-OLAO,DEPED,OCT-SP,With Ownership,Yes with buildable space,0,1UNIT/s-2STY4CL,3,4,1
CAR,Abra,135187,Lawigan PS,ABRA,Abra Lone,BOLINEY,POBLACION (BOLINEY),DEPED,TD-TAX DECLARATION,With Ownership,No buildable space,,,2,3,1
CAR,Abra,134985,Abang ES,ABRA,Abra Lone,BUCAY,ABANG,DEPED,OCT-SP,With Ownership,Yes with buildable space,0,1UNIT/s-3STY9CL,6,7,1
CAR,Abra,134987,Bangbangcag PS,ABRA,Abra Lone,BUCAY,BANGBANGCAG,DEPED,OCT-SP,With Ownership,Yes with buildable space,0,1UNIT/s-1STY2CL,3,3,0
CAR,Abra,134988,Bangcagan PS,ABRA,Abra Lone,BUCAY,BANGCAGAN,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 15m,1 storey 2 classrooms with schoolfurniture,2,3,1
CAR,Abra,134989,Bucay Central School,ABRA,Abra Lone,BUCAY,SOUTH POBLACION,DEPED,OCT-SP,With Ownership,Yes with buildable space,25 x 15,3 storey 6 classrooms,16,17,1
CAR,Abra,134990,Bucay North ES,ABRA,Abra Lone,BUCAY,SAN MIGUEL,DEPED,OCT-SP,With Ownership,Yes but with demolition,0,1UNIT/s-2STY4CL,6,7,1
CAR,Abra,134991,Bugbog ES,ABRA,Abra Lone,BUCAY,BUGBOG,DEPED,OCT-SP,With Ownership,Yes with buildable space,0,1UNIT/s-2STY4CL,6,7,1
CAR,Abra,134992,Calao ES,ABRA,Abra Lone,BUCAY,CALAO,DEPED,OCT-SP,With Ownership,Yes with buildable space,27m x 15m,1 storey 2 classrooms with schoolfurniture,7,6,0
CAR,Abra,305082,Cristina B. Gonzales MHS,ABRA,Abra Lone,BUCAY,NORTH POBLACION,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 15m,3 storey 6 classrooms with School Furniture,36,27,1
CAR,Abra,134994,Dugong ES,ABRA,Abra Lone,BUCAY,DUGONG,DEPED,OCT-SP,With Ownership,Yes with buildable space,0,1UNIT/s-2STY4CL,10,7,0
CAR,Abra,305085,Dugong National High School,ABRA,Abra Lone,BUCAY,DUGONG,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,25 x 15,2 storey 4 classrooms,9,11,2
CAR,Abra,501342,Layugan Integrated School,ABRA,Abra Lone,BUCAY,LAYUGAN,DEPED,OCT-SP,With Ownership,Yes with buildable space,25 x 15,"2 storey 4 classrooms with slope protection, site leveling",10,13,3
CAR,Abra,134997,Lublubnac PS,ABRA,Abra Lone,BUCAY,TABIOG,DEPED,TD-TAX DECLARATION,With Ownership,No buildable space,,,1,2,1
CAR,Abra,135001,Pagala East ES,ABRA,Abra Lone,BUCAY,PAGALA,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 15m,2 storey 4 classrooms on stilts design with furniture and rubber boat,4,3,0
CAR,Abra,135002,Pagala West ES,ABRA,Abra Lone,BUCAY,PAGALA,DEPED,OCT-SP,With Ownership,Yes with buildable space,25 x 15,"2 storey 4 classrooms with slope protection, site leveling",6,6,0
CAR,Abra,305092,Pangtod NHS,ABRA,Abra Lone,BUCAY,BANGBANGCAG,DEPED,OCT-SP,With Ownership,Yes with buildable space,25 x 15,2 storey 4 classrooms,11,13,2
CAR,Abra,135008,Siwasiw ES,ABRA,Abra Lone,BUCAY,BANGBANGCAG,DEPED,OCT-SP,With Ownership,Yes with buildable space,0,1UNIT/s-2STY4CL,7,7,0
CAR,Abra,135010,Tabiog ES,ABRA,Abra Lone,BUCAY,TABIOG,DEPED,OCT-SP,With Ownership,Yes with buildable space,25 x 15,2 storey 4 classrooms,8,7,0
CAR,Abra,135175,Bucloc CS,ABRA,Abra Lone,BUCLOC,LAMAO,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 15m,2 storey 4 classrooms with School Furniture,8,4,0
CAR,Abra,135179,Daldalao ES,ABRA,Abra Lone,BUCLOC,LABAAN,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 15m,1 storey 2 classrooms with schoolfurniture,7,4,0
CAR,Abra,135182,Ducligan ES,ABRA,Abra Lone,BUCLOC,DUCLIGAN,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 15m,2 storey 4 classrooms with School Furniture,7,4,0
CAR,Abra,135188,Lingey Elementary School,ABRA,Abra Lone,BUCLOC,LINGAY,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 15m,2 storey 4 classrooms with School Furniture,7,6,0
CAR,Abra,135176,Cabaruyan ES,ABRA,Abra Lone,DAGUIOMAN,CABARUYAN,DEPED,TD-TAX DECLARATION,With Ownership,No buildable space,,,5,4,0
CAR,Abra,135178,Daguioman Central School,ABRA,Abra Lone,DAGUIOMAN,TUI (POB.),DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 15m,2 storey 4 classrooms with School Furniture,7,7,0
CAR,Abra,135192,Pikek ES,ABRA,Abra Lone,DAGUIOMAN,PIKEK,DEPED,TD-TAX DECLARATION,With Ownership,No buildable space,,,2,4,2
CAR,Abra,135026,Abaquid ES,ABRA,Abra Lone,DANGLAS,ABAQUID,DEPED,OCT-SP,With Ownership,Yes with buildable space,0,1UNIT/s-2STY6CL,6,6,0
CAR,Abra,135030,Danglas CS,ABRA,Abra Lone,DANGLAS,CAUPASAN (POB.),DEPED,OCT-SP,With Ownership,Yes with buildable space,25 x 15,2 storey 4 classrooms,8,7,0
CAR,Abra,135036,Manganip ES,ABRA,Abra Lone,DANGLAS,CABARUAN,DEPED,OCT-SP,With Ownership,Yes with buildable space,0,1UNIT/s-2STY4CL,7,6,0
CAR,Abra,135038,Nagaparan ES,ABRA,Abra Lone,DANGLAS,NAGAPARAN,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 15m,2 storey 4 classrooms with School Furniture,8,7,0
CAR,Abra,135039,Padangitan ES,ABRA,Abra Lone,DANGLAS,PADANGITAN,DEPED,TD-TAX DECLARATION,With Ownership,No buildable space,,,7,7,0
CAR,Abra,305105,Western Abra NHS,ABRA,Abra Lone,DANGLAS,CAUPASAN (POB.),DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 15m,2 storey 4 classrooms with School Furniture,20,15,1
CAR,Abra,135015,Cabaroan ES,ABRA,Abra Lone,DOLORES,CABAROAN,DEPED,TD-TAX DECLARATION,With Ownership,No buildable space,,,7,4,0
CAR,Abra,135016,Cardona Elementary School,ABRA,Abra Lone,DOLORES,CARDONA,DEPED,OCT-SP,With Ownership,Yes with buildable space,27m x 15m,1 storey 2 classrooms with schoolfurniture,6,6,0
CAR,Abra,135017,Dolores CS,ABRA,Abra Lone,DOLORES,POBLACION,DEPED,OCT-SP,With Ownership,Yes but with demolition,0,1UNIT/s-2STY6CL,18,12,0
CAR,Abra,135019,Don Rosalio Eduarte ES,ABRA,Abra Lone,DOLORES,TALOGTOG,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 15m,2 storey 4 classrooms with School Furniture,13,11,0
CAR,Abra,135021,Mudiit ES,ABRA,Abra Lone,DOLORES,MUDIIT,DEPED,OCT-SP,With Ownership,Yes with buildable space,27m x 15m,2 storey 4 classrooms with School Furniture,7,7,0
CAR,Abra,135022,Pacac ES,ABRA,Abra Lone,DOLORES,PACAC,DEPED,OCT-SP,With Ownership,Yes with buildable space,0,1UNIT/s-2STY4CL,4,4,0
CAR,Abra,135023,Taping Elementary School,ABRA,Abra Lone,DOLORES,TAPING,DEPED,OCT-SP,With Ownership,Yes with buildable space,25 x 15,2 storey 4 classrooms,7,7,0
CAR,Abra,135027,Benben Elementary School,ABRA,Abra Lone,LA PAZ,BENBEN (BONBON),DEPED,OCT-SP,With Ownership,No buildable space,,,4,4,0
CAR,Abra,135028,Bulbulala ES,ABRA,Abra Lone,LA PAZ,BULBULALA,DEPED,OCT-SP,With Ownership,Yes with buildable space,25 x 15,2 storey 4 classrooms,10,7,0
CAR,Abra,135029,Canan ES,ABRA,Abra Lone,LA PAZ,CANAN (GAPAN),DEPED,OCT-SP,With Ownership,Yes with buildable space,0,1UNIT/s-2STY4CL,9,7,0
CAR,Abra,135031,Gongonot Elementary School,ABRA,Abra Lone,LA PAZ,BULI,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 15m,1 storey 2 classrooms with schoolfurniture,3,4,1
CAR,Abra,500743,La Paz Integrated School,ABRA,Abra Lone,LA PAZ,POBLACION,DEPED,OCT-SP,With Ownership,Yes with buildable space,25 x 15,3 storey 6 classrooms with laboratory,40,34,4
CAR,Abra,135034,Liguis ES,ABRA,Abra Lone,LA PAZ,LIGUIS,DEPED,OCT-SP,With Ownership,Yes with buildable space,25 x 15,2 storey 4 classrooms,6,6,0
CAR,Abra,135035,Malabbaga ES,ABRA,Abra Lone,LA PAZ,MALABBAGA,DEPED,OCT-SP,With Ownership,Yes with buildable space,25 x 15,2 storey 4 classrooms,7,7,0
CAR,Abra,318701,MARC YSRAEL B. BERNOS MEMORIAL NATIONAL HIGH SCHOOL,ABRA,Abra Lone,LA PAZ,MUDENG,DEPED,TD-TAX DECLARATION,With Ownership,No buildable space,,,25,27,2
CAR,Abra,135037,Mudeng ES,ABRA,Abra Lone,LA PAZ,MUDENG,DEPED,OCT-SP,With Ownership,No buildable space,,,11,7,0
CAR,Abra,135040,Pidipid ES,ABRA,Abra Lone,LA PAZ,PIDIPID,DEPED,OCT-SP,With Ownership,No buildable space,,,7,7,0
CAR,Abra,135041,San Gregorio ES,ABRA,Abra Lone,LA PAZ,SAN GREGORIO,DEPED,OCT-SP,With Ownership,Yes but with demolition,0,"1UNIT/s-4STY20CL - WITH SITE ADAPTATION(SITE LEVELING AND SLOPE PROTECTION), 1UNIT/s-4STY20CL - WITH SITE ADAPTATION(SITE LEVELING AND SLOPE PROTECTION)",8,7,0
CAR,Abra,135042,Sidongan PS,ABRA,Abra Lone,LA PAZ,LIGUIS,DEPED,TD-TAX DECLARATION,With Ownership,No buildable space,,,4,3,0
CAR,Abra,135043,Toon ES,ABRA,Abra Lone,LA PAZ,TOON,DEPED,OCT-SP,With Ownership,Yes with buildable space,25 x 15,1 storey 2 classrooms,5,4,0
CAR,Abra,135044,Udangan PS,ABRA,Abra Lone,LA PAZ,UDANGAN,DEPED,OCT-SP,With Ownership,Yes with buildable space,25 x 15,2 storey 4 classrooms,3,4,1
CAR,Abra,135076,Pacoc ES,ABRA,Abra Lone,LACUB,PACOC,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 15m,1 storey 2 classrooms with schoolfurniture,6,5,0
CAR,Abra,135079,Sap-al Elementary School,ABRA,Abra Lone,LACUB,BUNEG,DEPED,DOD-DEED OF DONATION,With Ownership,Yes with buildable space,27m x 15m,1 storey 2 classrooms with schoolfurniture,3,4,1
CAR,Abra,135057,Caridad Azares ES,ABRA,Abra Lone,LAGANGILANG,NAGTUPACAN,DEPED,OCT-SP,With Ownership,No buildable space,,,7,7,0
CAR,Abra,135058,Cayapa ES,ABRA,Abra Lone,LAGANGILANG,CAYAPA,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 15m,1 storey 2 classrooms with schoolfurniture,6,7,1
CAR,Abra,305081,Cayapa NHS,ABRA,Abra Lone,LAGANGILANG,CAYAPA,DEPED,OCT-SP,With Ownership,Yes with buildable space,0,1UNIT/s-2STY6CL,8,9,1
CAR,Abra,135062,Gaddani ES,ABRA,Abra Lone,LAGANGILANG,LAGBEN,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 15m,2 storey 4 classrooms with School Furniture,5,4,0
CAR,Abra,135065,Lagangilang Central School,ABRA,Abra Lone,LAGANGILANG,POBLACION,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 15m,2 storey 4 classrooms with School Furniture,15,7,0
CAR,Abra,135082,Tagodtod ES,ABRA,Abra Lone,LAGANGILANG,TAGODTOD,DEPED,SP-Special Patent,With Ownership,Yes with buildable space,27m x 15m,2 storey 4 classrooms with School Furniture,15,12,0
CAR,Abra,305102,Tagodtod National High School,ABRA,Abra Lone,LAGANGILANG,TAGODTOD,DEPED,OCT-SP,With Ownership,Yes with buildable space,25 x 15,3 storey 6 classrooms with laboratory,20,20,1
CAR,Abra,218503,Willy Castillo PS,ABRA,Abra Lone,LAGANGILANG,BALAIS,DEPED,TD-TAX DECLARATION,With Ownership,No buildable space,,,1,2,1
CAR,Abra,501341,Ba-i Integrated School,ABRA,Abra Lone,LAGAYAN,BA-I,DEPED,OCT-SP,With Ownership,Yes with buildable space,25 x 15,3 storey 6 classrooms with laboratory,10,10,0
CAR,Abra,135202,Baybayatin ES,ABRA,Abra Lone,LAGAYAN,COLLAGO,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 15m,2 storey 4 classrooms with School Furniture,2,3,1
CAR,Abra,135208,Collago ES,ABRA,Abra Lone,LAGAYAN,COLLAGO,DEPED,OCT-SP,With Ownership,Yes with buildable space,25 x 15,2 storey 4 classrooms,6,6,0
CAR,Abra,135210,Kiwas PS,ABRA,Abra Lone,LAGAYAN,PULOT,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 15m,1 storey 2 classrooms with schoolfurniture,2,3,1
CAR,Abra,135219,Pang-ot Primary School,ABRA,Abra Lone,LAGAYAN,PANG-OT,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 15m,1 storey 2 classrooms with schoolfurniture,2,3,1
CAR,Abra,135220,Pulot ES,ABRA,Abra Lone,LAGAYAN,PULOT,DEPED,OCT-SP,With Ownership,Yes with buildable space,27m x 15m,1 storey 2 classrooms with schoolfurniture,7,7,0
CAR,Abra,305094,Pulot National High School,ABRA,Abra Lone,LAGAYAN,PULOT,DEPED,OCT-SP,With Ownership,Yes but with demolition,0,1UNIT/s-1STY2CL,12,13,1
CAR,Abra,135133,Baac ES,ABRA,Abra Lone,LANGIDEN,BAAC,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 15m,1 storey 2 classrooms with schoolfurniture,3,4,1
CAR,Abra,135136,Langiden CS,ABRA,Abra Lone,LANGIDEN,POBLACION,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 15m,2 storey 4 classrooms with School Furniture,6,7,1
CAR,Abra,305087,Langiden NHS,ABRA,Abra Lone,LANGIDEN,POBLACION,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 15m,2 storey 4 classrooms with School Furniture,11,9,0
CAR,Abra,135137,Mabungtot ES,ABRA,Abra Lone,LANGIDEN,MABUNGTOT,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 15m,1 storey 2 classrooms with schoolfurniture,5,4,0
CAR,Abra,135138,Malapaao ES,ABRA,Abra Lone,LANGIDEN,MALAPAAO,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 15m,1 storey 2 classrooms with schoolfurniture,6,7,1
CAR,Abra,135142,Quillat ES,ABRA,Abra Lone,LANGIDEN,QUILLAT,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 15m,1 storey 2 classrooms with schoolfurniture,7,7,0
CAR,Abra,305076,Baay National High School,ABRA,Abra Lone,LICUAN-BAAY (LICUAN),TUMALIP,DEPED,OCT-SP,With Ownership,Yes with buildable space,0,1UNIT/s-1STY2CL,10,8,0
CAR,Abra,135050,Baquero ES,ABRA,Abra Lone,LICUAN-BAAY (LICUAN),NALBUAN,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 15m,"2 storey 4 classrooms with school furniture, slope protection, site levelling, storm drainage, perimeter fence, and pavement.",4,4,0
CAR,Abra,135056,Caoayan PS,ABRA,Abra Lone,LICUAN-BAAY (LICUAN),CAWAYAN,DEPED,TD-TAX DECLARATION,With Ownership,No buildable space,,,2,3,1
CAR,Abra,135060,Diangay PS,ABRA,Abra Lone,LICUAN-BAAY (LICUAN),MOGAO,DEPED,TD-TAX DECLARATION,With Ownership,No buildable space,,,3,3,0
CAR,Abra,135068,Lenneng ES,ABRA,Abra Lone,LICUAN-BAAY (LICUAN),LENNENG,DEPED,OCT-SP,With Ownership,Yes but with demolition,0,1UNIT/s-2STY4CL,4,4,0
CAR,Abra,501115,LICUAN INTEGRATED SCHOOL,ABRA,Abra Lone,LICUAN-BAAY (LICUAN),POBLACION,DEPED,OCT-SP,With Ownership,Yes with buildable space,25 x 15,2 storey 4 classrooms with slope protection and site leveling,6,9,3
CAR,Abra,135046,Licuan-Baay Central School,ABRA,Abra Lone,LICUAN-BAAY (LICUAN),TUMALIP,DEPED,OCT-SP,With Ownership,Yes with buildable space,25 x 15,3 storey 6 classrooms with laboratory,8,6,0
CAR,Abra,135075,Nalbuan ES,ABRA,Abra Lone,LICUAN-BAAY (LICUAN),NALBUAN,DEPED,OCT-SP,With Ownership,No buildable space,,,7,6,0
CAR,Abra,135080,Subagan PS,ABRA,Abra Lone,LICUAN-BAAY (LICUAN),SUBAGAN,DEPED,OCT-SP,With Ownership,Yes with buildable space,0,1UNIT/s-2STY4CL,2,3,1
CAR,Abra,135086,Agumanay ES,ABRA,Abra Lone,LUBA,GAYAMAN,DEPED,OCT-SP,With Ownership,Yes with buildable space,25 x 15,2 storey 4 classrooms,2,4,2
CAR,Abra,135088,Ampalioc PS,ABRA,Abra Lone,LUBA,AMPALIOC,DEPED,OCT-SP,With Ownership,No buildable space,,,5,3,0
CAR,Abra,135092,Barit ES,ABRA,Abra Lone,LUBA,BARIT,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 15m,1 storey 2 classrooms with schoolfurniture,3,4,1
CAR,Abra,135094,Botot ES,ABRA,Abra Lone,LUBA,BARIT,DEPED,TD-TAX DECLARATION,With Ownership,No buildable space,,,4,4,0
CAR,Abra,135099,Gayaman ES,ABRA,Abra Lone,LUBA,GAYAMAN,DEPED,OCT-SP,With Ownership,Yes with buildable space,0,1UNIT/s-3STY6CL,9,6,0
CAR,Abra,135102,Lipting PS,ABRA,Abra Lone,LUBA,AMPALIOC,DEPED,OCT-SP,With Ownership,No buildable space,,,2,3,1
CAR,Abra,135103,Luba CS,ABRA,Abra Lone,LUBA,POBLACION,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 15m,2 storey 4 classrooms with school furniture,13,7,0
CAR,Abra,135104,Lul-luno ES,ABRA,Abra Lone,LUBA,LUL-LUNO,DEPED,TD-TAX DECLARATION,With Ownership,No buildable space,,,8,6,0
CAR,Abra,305088,Lul-luno NHS,ABRA,Abra Lone,LUBA,LUL-LUNO,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 15m,3 storey 6 classrooms with School Furniture and slope protection,7,6,0
CAR,Abra,135105,Luzong ES,ABRA,Abra Lone,LUBA,LUZONG,DEPED,OCT-SP,With Ownership,Yes with buildable space,25 x 15,2 storey 4 classrooms,9,7,0
CAR,Abra,305089,Luzong NHS,ABRA,Abra Lone,LUBA,LUZONG,DEPED,TD-TAX DECLARATION,With Ownership,No buildable space,,,9,6,0
CAR,Abra,135106,Pacpaca ES,ABRA,Abra Lone,LUBA,AMPALIOC,DEPED,TD-TAX DECLARATION,With Ownership,No buildable space,,,6,4,0
CAR,Abra,135108,Pega PS,ABRA,Abra Lone,LUBA,POBLACION,DEPED,TD-TAX DECLARATION,With Ownership,No buildable space,,,2,3,1
CAR,Abra,135109,Sabnangan ES,ABRA,Abra Lone,LUBA,SABNANGAN,DEPED,OCT-SP,With Ownership,Yes with buildable space,25 x 15,2 storey 4 classrooms,5,6,1
CAR,Abra,501729,TABANGAO IS,ABRA,Abra Lone,LUBA,AMPALIOC,DEPED,OCT-SP,With Ownership,Yes with buildable space,0,1UNIT/s-1STY2CL,12,9,0
CAR,Abra,135049,Bangilo ES,ABRA,Abra Lone,MALIBCONG,UMNAP,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 15m,1 storey 2 classrooms with schoolfurniture with site levelling and slope protection,6,6,0
CAR,Abra,135051,Bayabas Elementary School,ABRA,Abra Lone,MALIBCONG,BAYABAS,DEPED,DOD-DEED OF DONATION,With Ownership,Yes with buildable space,27m x 15m,1 storey 2 classrooms with school furniture with solar power,2,4,2
CAR,Abra,218508,Gacab PS,ABRA,Abra Lone,MALIBCONG,GACAB,DEPED,TD-TAX DECLARATION,With Ownership,No buildable space,,,2,2,0
CAR,Abra,218509,Lat-ey PS,ABRA,Abra Lone,MALIBCONG,LAT-EY,DEPED,DOD-DEED OF DONATION,With Ownership,No buildable space,,,2,3,1
CAR,Abra,135070,Liwang ES,ABRA,Abra Lone,MALIBCONG,MALIBCONG (POB.),DEPED,OCT-SP,With Ownership,Yes with buildable space,0,1UNIT/s-2STY4CL,5,4,0
CAR,Abra,135072,Mataragan ES,ABRA,Abra Lone,MALIBCONG,MATARAGAN,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 15m,2 storey 4 classrooms with school furniture and solar power,5,7,2
CAR,Abra,134986,Banat ES,ABRA,Abra Lone,MANABO,SAN RAMON EAST,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 15m,1 storey 2 classrooms with schoolfurniture,7,7,0
CAR,Abra,218520,Casakgudan PS,ABRA,Abra Lone,MANABO,SAN RAMON EAST,DEPED,TD-TAX DECLARATION,With Ownership,No buildable space,,,3,3,0
CAR,Abra,134993,Catacdegan ES,ABRA,Abra Lone,MANABO,CATACDEGAN VIEJO,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,25 x 15,2 storey 4 classrooms,8,7,0
CAR,Abra,134996,Liagan PS,ABRA,Abra Lone,MANABO,SAN RAMON WEST,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,27m x 15m,2 storey 4 classrooms on stilts design with school furniture and rubber boat,2,4,2
CAR,Abra,134998,Madago Elementary School,ABRA,Abra Lone,MANABO,SAN RAMON EAST,DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,0,1UNIT/s-2STY4CL,2,4,2
